prefecture-level city,Prefecture level city code,year,Local general public budget expenditures_Ten thousand yuan_Citywide,science and technology expenditure_Ten thousand yuan_Citywide,Scientific and technological level
Wuxi City,320200,2020,12150337,489234,0.04026506
Wuxi City,320200,2021,13577935,645468,0.04753801
Xuzhou,320300,2003,552229,1762,0.00319071
Xuzhou,320300,2004,669813,1700,0.00253802
Xuzhou,320300,2005,881967,1976,0.00224045
Xuzhou,320300,2006,1073117,2691,0.00250765
Xuzhou,320300,2007,1474369,19163,0.01299742
Xuzhou,320300,2008,1990464,26697,0.01341245
Xuzhou,320300,2009,2565349,37033,0.01443585
Xuzhou,320300,2010,3257198,45433,0.01394849
Xuzhou,320300,2011,4542420,103526,0.02279094
Xuzhou,320300,2012,5300461,125901,0.02375284
Xuzhou,320300,2013,5956105,144855,0.02432042
Xuzhou,320300,2014,6618386,174827,0.02641535
Xuzhou,320300,2015,7524600,191900,0.02550302
Xuzhou,320300,2016,7979900,207600,0.02601536
Xuzhou,320300,2017,8273338,215540,0.02605236
Xuzhou,320300,2018,8808594,254531,0.02889576
Xuzhou,320300,2019,8822100,258900,0.02934675
Xuzhou,320300,2020,9581879,214297,0.02236482
Xuzhou,320300,2021,10043962,251215,0.02501154
Changzhou City,320400,2003,630490,1436,0.00227759
Changzhou City,320400,2004,756627,1803,0.00238294
Changzhou City,320400,2005,978458,1771,0.00180999
Changzhou City,320400,2006,1176965,2069,0.00175791
Changzhou City,320400,2007,1546367,45106,0.02916901
Changzhou City,320400,2008,1866796,54996,0.0294601
Changzhou City,320400,2009,2187465,57968,0.02650008
Changzhou City,320400,2010,2814401,87084,0.03094229
Changzhou City,320400,2011,3618123,125299,0.03463094
Changzhou City,320400,2012,3912183,189317,0.04839165
Changzhou City,320400,2013,4179007,221119,0.05291185
Changzhou City,320400,2014,4349289,217044,0.04990333
Changzhou City,320400,2015,4853300,227500,0.04687532
Changzhou City,320400,2016,5081100,240200,0.04727323
Changzhou City,320400,2017,5515534,250894,0.04548861
Changzhou City,320400,2018,5948173,253942,0.04269244
Changzhou City,320400,2019,6541900,267300,0.04085969
Changzhou City,320400,2020,7263132,218666,0.0301063
Changzhou City,320400,2021,7718932,338551,0.04385982
Suzhou City,320500,2003,1835976,3976,0.00216561
Suzhou City,320500,2004,2331312,4262,0.00182816
Suzhou City,320500,2005,3352789,4914,0.00146565
Suzhou City,320500,2006,3861990,5224,0.00135267
Suzhou City,320500,2007,4969424,144946,0.02916757
Suzhou City,320500,2008,6223668,227688,0.03658421
Suzhou City,320500,2009,6867778,287710,0.04189273
Suzhou City,320500,2010,8256650,357105,0.04325059
Suzhou City,320500,2011,10026263,536050,0.05346459
Suzhou City,320500,2012,11134678,665898,0.05980397
Suzhou City,320500,2013,12126837,763672,0.06297372
Suzhou City,320500,2014,13048293,757988,0.05809097
Suzhou City,320500,2015,15271700,883300,0.05783901
Suzhou City,320500,2016,16171100,952000,0.05887045
Suzhou City,320500,2017,17714698,1240275,0.07001389
Suzhou City,320500,2018,19527090,1522777,0.07798279
Suzhou City,320500,2019,21414500,1815800,0.08479301
Suzhou City,320500,2020,22635089,2162786,0.09555014
Suzhou City,320500,2021,25837046,2368694,0.09167821
Nantong city,320600,2003,620379,2000,0.00322384
Nantong city,320600,2004,756486,2370,0.00313291
Nantong city,320600,2005,895895,2530,0.00282399
Nantong city,320600,2006,1126224,2504,0.00222336
Nantong city,320600,2007,1477089,42706,0.02891227
Nantong city,320600,2008,1962186,50815,0.02589714
Nantong city,320600,2009,2374668,71348,0.03004546
Nantong city,320600,2010,3167489,99923,0.03154644
Nantong city,320600,2011,4194492,130711,0.03116253
Nantong city,320600,2012,5130055,143698,0.02801101
Nantong city,320600,2013,5764110,190657,0.03307657
Nantong city,320600,2014,6495797,217879,0.03354153
Nantong city,320600,2015,7489700,242700,0.0324045
Nantong city,320600,2016,7492200,228329,0.03047556
Nantong city,320600,2017,8100804,272407,0.03362716
Nantong city,320600,2018,8771843,377790,0.04306849
Nantong city,320600,2019,9726400,330100,0.03393856
Nantong city,320600,2020,10806246,410379,0.03797609
Nantong city,320600,2021,11222232,503323,0.04485053
Lianyungang City,320700,2003,279784,1322,0.00472507
Lianyungang City,320700,2004,324841,1237,0.00380802
Lianyungang City,320700,2005,458548,1654,0.00360704
Lianyungang City,320700,2006,576435,1402,0.00243219
Lianyungang City,320700,2007,806647,12556,0.01556567
Lianyungang City,320700,2008,1064297,22196,0.02085508
Lianyungang City,320700,2009,1403077,25956,0.01849934
Lianyungang City,320700,2010,2027515,42649,0.02103511
Lianyungang City,320700,2011,2746339,58925,0.02145584
Lianyungang City,320700,2012,3125474,74926,0.02397268
Lianyungang City,320700,2013,3623814,88633,0.02445848
Lianyungang City,320700,2014,3759482,100369,0.02669756
Lianyungang City,320700,2015,4259200,110400,0.02592036
Lianyungang City,320700,2016,3731200,100300,0.02688143
Lianyungang City,320700,2017,3905576,88065,0.02254853
Lianyungang City,320700,2018,4195660,99205,0.02364467
Lianyungang City,320700,2019,4660300,140700,0.03019119
Lianyungang City,320700,2020,5016895,83354,0.01661466
Lianyungang City,320700,2021,5341827,85406,0.01598816
Huaian city,320800,2003,328692,718,0.00218442
Huaian city,320800,2004,396069,497,0.00125483
Huaian city,320800,2005,494328,627,0.00126839
Huaian city,320800,2006,621590,867,0.00139481
Huaian city,320800,2007,836478,12640,0.01511098
Huaian city,320800,2008,1142941,22805,0.01995291
Huaian city,320800,2009,1482720,29008,0.01956404
Huaian city,320800,2010,20615112,44824,0.00217433
Huaian city,320800,2011,2966772,62492,0.02106397
Huaian city,320800,2012,3398581,74402,0.02189208
Huaian city,320800,2013,3850537,88813,0.02306509
Huaian city,320800,2014,4316544,106174,0.02459699
Huaian city,320800,2015,5124700,120500,0.02351357
Huaian city,320800,2016,4834700,92900,0.01921526
Huaian city,320800,2017,4523140,97407,0.02153526
Huaian city,320800,2018,4867707,93497,0.01920761
Huaian city,320800,2019,5291500,90700,0.0171407
Huaian city,320800,2020,5682476,83700,0.01472949
Huaian city,320800,2021,6129119,121328,0.01979534
Yancheng City,320900,2003,443298,889,0.00200542
Yancheng City,320900,2004,546344,933,0.00170772
Yancheng City,320900,2005,706144,1106,0.00156625
Yancheng City,320900,2006,858896,1162,0.0013529
Yancheng City,320900,2007,1171809,22498,0.01919937
Yancheng City,320900,2008,1536538,23500,0.01529412
Yancheng City,320900,2009,2065341,44782,0.02168262
Yancheng City,320900,2010,2918950,60207,0.02062625
Yancheng City,320900,2011,4072205,119015,0.02922618
Yancheng City,320900,2012,4734763,161213,0.0340488
Yancheng City,320900,2013,5556174,197879,0.03561426
Yancheng City,320900,2014,6032064,236313,0.03917614
Yancheng City,320900,2015,7463100,289100,0.03873725
Yancheng City,320900,2016,7303300,323600,0.04430874
Yancheng City,320900,2017,7482814,250301,0.03345012
Yancheng City,320900,2018,8400801,284450,0.03385987
Yancheng City,320900,2019,8775200,266400,0.03035828
Yancheng City,320900,2020,9736039,267503,0.02747555
Yancheng City,320900,2021,10531655,272506,0.02587495
Yangzhou,321000,2003,401777,937,0.00233214
Yangzhou,321000,2004,492246,1191,0.00241952
Yangzhou,321000,2005,622208,1095,0.00175986
Yangzhou,321000,2006,756396,1588,0.00209943
Yangzhou,321000,2007,967100,23401,0.02419708
Yangzhou,321000,2008,1264575,30588,0.02418836
Yangzhou,321000,2009,1590064,40905,0.02572538
Yangzhou,321000,2010,2016767,67789,0.03361271
Yangzhou,321000,2011,2643735,96914,0.03665799
Yangzhou,321000,2012,2848023,98110,0.03444846
Yangzhou,321000,2013,3192774,104640,0.03277401
Yangzhou,321000,2014,3677273,113031,0.03073772
Yangzhou,321000,2015,4427800,131900,0.02978906
Yangzhou,321000,2016,4789700,122800,0.02563835
Yangzhou,321000,2017,5076403,149805,0.02951007
Yangzhou,321000,2018,5633867,160500,0.02848843
Yangzhou,321000,2019,6119500,173400,0.02833565
Yangzhou,321000,2020,6683001,124703,0.01865973
Yangzhou,321000,2021,6848256,147329,0.02151336
Zhenjiang,321100,2003,366636,1207,0.00329209
Zhenjiang,321100,2004,441250,1705,0.00386402
Zhenjiang,321100,2005,521789,1545,0.00296097
Zhenjiang,321100,2006,650835,1476,0.00226786
Zhenjiang,321100,2007,809523,17619,0.02176467
Zhenjiang,321100,2008,965740,24743,0.02562077
Zhenjiang,321100,2009,1213152,37078,0.03056336
Zhenjiang,321100,2010,1590674,52399,0.03294138
Zhenjiang,321100,2011,2029009,70044,0.03452129
Zhenjiang,321100,2012,2352453,102373,0.04351755
Zhenjiang,321100,2013,2862267,107034,0.03739483
Zhenjiang,321100,2014,3118458,118714,0.03806817
Zhenjiang,321100,2015,3487300,122700,0.03518481
Zhenjiang,321100,2016,3629400,134800,0.03714113
Zhenjiang,321100,2017,3866360,126531,0.03272613
Zhenjiang,321100,2018,4084115,165004,0.04040141
Zhenjiang,321100,2019,4662500,183100,0.03927078
Zhenjiang,321100,2020,4988952,165258,0.03312479
Zhenjiang,321100,2021,5429544,143250,0.02638343
Taizhou City,321200,2003,406173,1009,0.00248416
Taizhou City,321200,2004,494865,1672,0.0033787
Taizhou City,321200,2005,626361,1045,0.00166837
Taizhou City,321200,2006,778163,1320,0.0016963
Taizhou City,321200,2007,1031457,20067,0.019455
Taizhou City,321200,2008,1254391,26998,0.02152279
Taizhou City,321200,2009,1729288,37075,0.02143946
Taizhou City,321200,2010,2157269,43819,0.02031226
Taizhou City,321200,2011,2620216,52803,0.02015216
Taizhou City,321200,2012,3009003,58192,0.0193393
Taizhou City,321200,2013,3438129,77095,0.02242353
Taizhou City,321200,2014,3712131,76515,0.02061215
Taizhou City,321200,2015,4299000,112100,0.02607583
Taizhou City,321200,2016,4489300,116500,0.02595059
Taizhou City,321200,2017,4754870,132911,0.0279526
Taizhou City,321200,2018,5323571,151232,0.028408
Taizhou City,321200,2019,5942400,177500,0.02987009
Taizhou City,321200,2020,6275366,115345,0.0183806
Taizhou City,321200,2021,6679036,158694,0.02376002
suqian city,321300,2003,249124,204,0.00081887
suqian city,321300,2004,327057,176,0.00053813
suqian city,321300,2005,387049,165,0.0004263
suqian city,321300,2006,492028,174,0.00035364
suqian city,321300,2007,729343,8417,0.01154052
suqian city,321300,2008,986176,13839,0.01403299
suqian city,321300,2009,1300618,23977,0.01843508
suqian city,321300,2010,1683627,31925,0.01896204
suqian city,321300,2011,2212389,46159,0.02086387
suqian city,321300,2012,2724023,71731,0.02633274
suqian city,321300,2013,3111628,92241,0.02964397
suqian city,321300,2014,3455899,98220,0.02842097
suqian city,321300,2015,4057800,86400,0.02129233
suqian city,321300,2016,4245700,86300,0.02032645
suqian city,321300,2017,4241181,74948,0.01767149
suqian city,321300,2018,4335422,117461,0.02709333
suqian city,321300,2019,5057400,148400,0.02934314
suqian city,321300,2020,5894420,158205,0.02683979
suqian city,321300,2021,5847019,175728,0.03005429
Hangzhou City,330100,2003,1635948,6677,0.00408143
Hangzhou City,330100,2004,1956282,8174,0.00417833
Hangzhou City,330100,2005,2383344,9508,0.00398935
Hangzhou City,330100,2006,2754809,12028,0.00436618
Hangzhou City,330100,2007,3357153,121559,0.03620895
Hangzhou City,330100,2008,4196674,185485,0.0441981
Hangzhou City,330100,2009,4903983,220721,0.04500852
Hangzhou City,330100,2010,6165836,288559,0.04679966
Hangzhou City,330100,2011,7475108,349228,0.04671879
Hangzhou City,330100,2012,7862800,401878,0.05111131
Hangzhou City,330100,2013,8557370,462600,0.05405867
Hangzhou City,330100,2014,9611771,524082,0.05452502
Hangzhou City,330100,2015,12054777,701490,0.05819187
Hangzhou City,330100,2016,14043065,749190,0.05334946
Hangzhou City,330100,2017,15409156,923236,0.05991477
Hangzhou City,330100,2018,17170834,1182090,0.0688429
Hangzhou City,330100,2019,19528530,1481879,0.07588277
Hangzhou City,330100,2020,20696554,1443254,0.06973402
Hangzhou City,330100,2021,23920396,1796737,0.07511318
Ningbo City,330200,2003,1802545,5103,0.002831
Ningbo City,330200,2004,2159499,6340,0.00293587
Ningbo City,330200,2005,2647747,9576,0.00361666
Ningbo City,330200,2006,2926969,11732,0.00400824
Ningbo City,330200,2007,3710400,152480,0.0410953
Ningbo City,330200,2008,4394083,155104,0.03529838
Ningbo City,330200,2009,5060788,169678,0.03352798
Ningbo City,330200,2010,6007447,221455,0.03686341
Ningbo City,330200,2011,7507233,281531,0.0375013
Ningbo City,330200,2012,8284437,324076,0.03911865
Ningbo City,330200,2013,9398939,375758,0.03997877
Ningbo City,330200,2014,10008563,428212,0.04278456
Ningbo City,330200,2015,12526362,473092,0.03776771
Ningbo City,330200,2016,12892601,566227,0.04391876
Ningbo City,330200,2017,14106049,587880,0.04167574
Ningbo City,330200,2018,15941000,782647,0.04909648
Ningbo City,330200,2019,17678895,1241564,0.0702286
Ningbo City,330200,2020,17420878,1125943,0.06463182
Ningbo City,330200,2021,19444158,1312319,0.06749169
Wenzhou city,330300,2003,742642,4366,0.00587901
Wenzhou city,330300,2004,833064,5381,0.00645929
Wenzhou city,330300,2005,933908,6595,0.00706172
Wenzhou city,330300,2006,1436927,8538,0.00594185
Wenzhou city,330300,2007,1769850,41628,0.02352064
Wenzhou city,330300,2008,2096670,46974,0.0224041
Wenzhou city,330300,2009,2515604,56927,0.02262956
Wenzhou city,330300,2010,3107766,66690,0.02145914
Wenzhou city,330300,2011,3704471,73204,0.01976099
Wenzhou city,330300,2012,3877865,85041,0.02192985
Wenzhou city,330300,2013,4379565,99913,0.02281345
Wenzhou city,330300,2014,4889810,113033,0.02311603
Wenzhou city,330300,2015,5694294,119951,0.02106512
Wenzhou city,330300,2016,6667495,134104,0.0201131
Wenzhou city,330300,2017,7616108,157623,0.020696
Wenzhou city,330300,2018,8741367,182536,0.02088186
Wenzhou city,330300,2019,10841222,235282,0.02170254
Wenzhou city,330300,2020,10271684,277741,0.02703948
Wenzhou city,330300,2021,10668151,326411,0.03059677
Jiaxing City,330400,2003,472366,3762,0.00796416
Jiaxing City,330400,2004,597174,4958,0.00830244
Jiaxing City,330400,2005,734502,5792,0.00788562
Jiaxing City,330400,2006,863478,8716,0.01009406
Jiaxing City,330400,2007,1074227,41431,0.0385682
Jiaxing City,330400,2008,1359199,52238,0.03843293
Jiaxing City,330400,2009,1611135,59007,0.03662449
Jiaxing City,330400,2010,1990633,75362,0.03785831
Jiaxing City,330400,2011,2406148,94763,0.0393837
Jiaxing City,330400,2012,2607030,104554,0.04010464
Jiaxing City,330400,2013,3033633,120567,0.03974344
Jiaxing City,330400,2014,3349028,140870,0.04206295
Jiaxing City,330400,2015,4241331,163574,0.03856667
Jiaxing City,330400,2016,4421926,179357,0.04056083
Jiaxing City,330400,2017,4947026,202514,0.04093651
Jiaxing City,330400,2018,5888689,238688,0.0405333
Jiaxing City,330400,2019,7668853,330388,0.0430818
Jiaxing City,330400,2020,7121830,340099,0.04775444
Jiaxing City,330400,2021,7937224,389168,0.04903074
Huzhou,330500,2003,304720,823,0.00270084
Huzhou,330500,2004,365120,1109,0.00303736
Huzhou,330500,2005,440839,2669,0.00605436
Huzhou,330500,2006,559348,3254,0.00581749
Huzhou,330500,2007,688180,23294,0.0338487
Huzhou,330500,2008,864170,28155,0.0325804
Huzhou,330500,2009,1085102,32490,0.02994189
Huzhou,330500,2010,1271209,36729,0.02889297
Huzhou,330500,2011,1517340,45753,0.03015343
Huzhou,330500,2012,1675076,51861,0.03096039
Huzhou,330500,2013,1675076,60105,0.03588195
Huzhou,330500,2014,2245670,69814,0.03108827
Huzhou,330500,2015,2737406,83942,0.0306648
Huzhou,330500,2016,2886169,93215,0.03229714
Huzhou,330500,2017,3250181,112968,0.03475745
Huzhou,330500,2018,3975433,157795,0.03969253
Huzhou,330500,2019,4668656,187149,0.04008627
Huzhou,330500,2020,4844230,195052,0.04026481
Huzhou,330500,2021,5244939,225487,0.04299135
Shaoxing City,330600,2003,570548,3802,0.00666377
Shaoxing City,330600,2004,645049,5512,0.00854509
Shaoxing City,330600,2005,800388,6681,0.0083472
Shaoxing City,330600,2006,954864,8198,0.00858552
Shaoxing City,330600,2007,1137609,44978,0.03953731
Shaoxing City,330600,2008,1440939,61925,0.04297545
Shaoxing City,330600,2009,1695366,77951,0.04597886
Shaoxing City,330600,2010,2219473,95542,0.04304716
Shaoxing City,330600,2011,2533091,123294,0.04867334
Shaoxing City,330600,2012,2787074,132309,0.04747237
Shaoxing City,330600,2013,3121077,158729,0.05085712
Shaoxing City,330600,2014,3464437,184555,0.05327128
Shaoxing City,330600,2015,4214117,209746,0.04977223
Shaoxing City,330600,2016,4560959,228725,0.05014844
Shaoxing City,330600,2017,4698303,260669,0.05548152
Shaoxing City,330600,2018,5566451,315725,0.05671926
Shaoxing City,330600,2019,6408697,468932,0.07317119
Shaoxing City,330600,2020,6671630,307165,0.04604047
Shaoxing City,330600,2021,7144995,355868,0.04980661
Jinhua City,330700,2003,541356,3247,0.0059979
Jinhua City,330700,2004,682245,3927,0.005756
Jinhua City,330700,2005,807397,4950,0.00613081
Jinhua City,330700,2006,937584,5604,0.00597706
Jinhua City,330700,2007,1161504,43544,0.03748932
Jinhua City,330700,2008,1375772,54369,0.0395189
Jinhua City,330700,2009,1653599,62193,0.03761069
Jinhua City,330700,2010,2115178,75525,0.03570621
Jinhua City,330700,2011,2350800,83449,0.03549813
Jinhua City,330700,2012,2719529,104206,0.03831766
Jinhua City,330700,2013,3222488,121364,0.03766158
Jinhua City,330700,2014,3528648,133838,0.03792897
Jinhua City,330700,2015,4643797,160920,0.03465268
Jinhua City,330700,2016,5423599,182163,0.03358711
Jinhua City,330700,2017,5366856,186460,0.03474287
Jinhua City,330700,2018,5739988,211407,0.03683056
Jinhua City,330700,2019,6643295,247933,0.03732079
Jinhua City,330700,2020,7034142,204448,0.02906509
Jinhua City,330700,2021,7914107,239953,0.03031966
Quzhou City,330800,2003,270400,847,0.0031324
Quzhou City,330800,2004,334849,1015,0.00303122
Quzhou City,330800,2005,373183,1183,0.00317003
Quzhou City,330800,2006,436775,1623,0.00371587
Quzhou City,330800,2007,555057,13466,0.02426057
Quzhou City,330800,2008,679319,17343,0.02552998
Quzhou City,330800,2009,953945,21800,0.02285247
Quzhou City,330800,2010,1070865,27460,0.02564282
Quzhou City,330800,2011,1254419,32412,0.02583826
Quzhou City,330800,2012,1388933,36604,0.02635404
Quzhou City,330800,2013,1655099,49415,0.02985622
Quzhou City,330800,2014,1919400,58557,0.03050797
Quzhou City,330800,2015,2306709,67922,0.02944541
Quzhou City,330800,2016,2680843,75844,0.0282911
Quzhou City,330800,2017,3004654,90512,0.03012393
Quzhou City,330800,2018,3559423,110800,0.03112864
Quzhou City,330800,2019,4490028,153971,0.03429177
Quzhou City,330800,2020,4596505,148396,0.03228453
Quzhou City,330800,2021,5180705,173194,0.03343059
Zhoushan City,330900,2003,230973,1087,0.00470618
Zhoushan City,330900,2004,289284,1360,0.00470126
Zhoushan City,330900,2005,319384,1682,0.00526639
Zhoushan City,330900,2006,408208,2005,0.00491171
Zhoushan City,330900,2007,565227,14826,0.02623017
Zhoushan City,330900,2008,767785,17765,0.02313799
Zhoushan City,330900,2009,827392,21057,0.02544985
Zhoushan City,330900,2010,1050303,24390,0.02322187
Zhoushan City,330900,2011,1481022,27489,0.01856083
Zhoushan City,330900,2012,1552230,34873,0.02246639
Zhoushan City,330900,2013,1898260,40225,0.02119046
Zhoushan City,330900,2014,1881904,44763,0.02378602
Zhoushan City,330900,2015,2396523,51012,0.02128584
Zhoushan City,330900,2016,2505417,58786,0.02346356
Zhoushan City,330900,2017,2586044,55548,0.02147991
Zhoushan City,330900,2018,3084897,67847,0.02199328
Zhoushan City,330900,2019,3233611,74615,0.02307482
Zhoushan City,330900,2020,3126851,72132,0.02306858
Zhoushan City,330900,2021,3361101,94342,0.02806878
Taizhou,331000,2003,688820,3764,0.00546442
Taizhou,331000,2004,791520,6223,0.00786209
Taizhou,331000,2005,880887,5717,0.00649005
Taizhou,331000,2006,1040000,6431,0.00618365
Taizhou,331000,2007,1269285,32356,0.02549152
Taizhou,331000,2008,1538078,40669,0.02644144
Taizhou,331000,2009,1759524,45914,0.02609456
Taizhou,331000,2010,2227592,57589,0.02585258
Taizhou,331000,2011,2655309,56423,0.02124913
Taizhou,331000,2012,2879269,78933,0.02741425
Taizhou,331000,2013,3290300,88293,0.02683433
Taizhou,331000,2014,3714666,98099,0.02640857
Taizhou,331000,2015,4572105,167047,0.03653613
Taizhou,331000,2016,5143996,115254,0.02240554
Taizhou,331000,2017,5630966,137217,0.02436829
Taizhou,331000,2018,6537506,169642,0.02594904
Taizhou,331000,2019,7703304,287879,0.03737085
Taizhou,331000,2020,7001415,175336,0.02504294
Taizhou,331000,2021,7348054,221466,0.03013941
Lishui City,331100,2003,356005,2223,0.00624429
Lishui City,331100,2004,386772,2681,0.00693173
Lishui City,331100,2005,459142,3230,0.00703486
Lishui City,331100,2006,552968,4141,0.00748868
Lishui City,331100,2007,708755,16437,0.02319137
Lishui City,331100,2008,857748,19339,0.02254625
Lishui City,331100,2009,1128670,21086,0.01868217
Lishui City,331100,2010,1352045,24478,0.01810443
Lishui City,331100,2011,1542833,29826,0.01933197
Lishui City,331100,2012,1679410,35420,0.02109074
Lishui City,331100,2013,1953767,38239,0.01957193
Lishui City,331100,2014,2172733,46070,0.02120371
Lishui City,331100,2015,2793261,54488,0.01950695
Lishui City,331100,2016,3416717,63560,0.01860265
Lishui City,331100,2017,3786403,72667,0.01919157
Lishui City,331100,2018,4320191,93193,0.0215715
Lishui City,331100,2019,5264959,114303,0.02171014
Lishui City,331100,2020,5270971,114952,0.02180851
Lishui City,331100,2021,5456911,134809,0.02470427
Hefei City,340100,2003,464275,1109,0.00238867
Hefei City,340100,2004,570603,1286,0.00225376
Hefei City,340100,2005,734118,1833,0.00249687
Hefei City,340100,2006,1028869,2351,0.00228503
Hefei City,340100,2007,1670789,22700,0.0135864
Hefei City,340100,2008,2222517,48088,0.02163673
Hefei City,340100,2009,2458575,88094,0.03583133
Hefei City,340100,2010,3177157,179637,0.05654017
Hefei City,340100,2011,4748895,190348,0.04008259
Hefei City,340100,2012,5720987,226720,0.03962953
Hefei City,340100,2013,6308509,260165,0.04124033
Hefei City,340100,2014,6987901,290529,0.041576
Hefei City,340100,2015,7726647,372666,0.04823127
Hefei City,340100,2016,8598503,1016998,0.11827617
Hefei City,340100,2017,9653444,695921,0.07209044
Hefei City,340100,2018,10049099,919741,0.09152472
Hefei City,340100,2019,11226669,1303222,0.1160827
Hefei City,340100,2020,11643459,1633287,0.14027507
Hefei City,340100,2021,12237236,1740822,0.14225614
Chaohu City,340181,2003,194087,304,0.00156631
Chaohu City,340181,2004,232748,349,0.00149948
Chaohu City,340181,2005,268622,444,0.00165288
Chaohu City,340181,2006,382807,621,0.00162223
Chaohu City,340181,2007,538737,5246,0.00973759
Chaohu City,340181,2008,723537,7590,0.01049013
Chaohu City,340181,2009,912097,8477,0.00929397
Chaohu City,340181,2010,1045761,11923,0.01140127
Wuhu,340200,2003,247201,158,0.00063916
Wuhu,340200,2004,290537,236,0.00081229
Wuhu,340200,2005,376598,1660,0.00440788
Wuhu,340200,2006,520190,2129,0.00409274
Wuhu,340200,2007,663393,18770,0.02829394
Wuhu,340200,2008,843060,32736,0.03882998
Wuhu,340200,2009,1084741,72630,0.06695608
Wuhu,340200,2010,1444290,100092,0.06930187
Wuhu,340200,2011,2381774,145933,0.06127072
Wuhu,340200,2012,2951484,203766,0.06903849
Wuhu,340200,2013,3196317,263329,0.08238513
Wuhu,340200,2014,3469186,342871,0.09883327
Wuhu,340200,2015,3936758,357319,0.09076479
Wuhu,340200,2016,4094405,517841,0.12647528
Wuhu,340200,2017,4632994,574155,0.12392742
Wuhu,340200,2018,4570422,598199,0.13088485
Wuhu,340200,2019,5024765,511512,0.10179819
Wuhu,340200,2020,4856366,544930,0.11220942
Wuhu,340200,2021,5034947,701815,0.13938876
Bengbu,340300,2003,192535,380,0.00197367
Bengbu,340300,2004,203033,450,0.00221639
Bengbu,340300,2005,266527,416,0.00156082
Bengbu,340300,2006,416681,599,0.00143755
Bengbu,340300,2007,550000,3494,0.00635273
Bengbu,340300,2008,735994,20023,0.02720538
Bengbu,340300,2009,877276,23764,0.0270884
Bengbu,340300,2010,1068407,34633,0.03241555
Bengbu,340300,2011,1412913,45090,0.03191279
Bengbu,340300,2012,1646697,56770,0.03447507
Bengbu,340300,2013,1914991,72384,0.03779861
Bengbu,340300,2014,2085574,76245,0.03655828
Bengbu,340300,2015,2447171,112203,0.04585009
Bengbu,340300,2016,2680543,133824,0.04992421
Bengbu,340300,2017,2977139,126849,0.04260768
Bengbu,340300,2018,2957943,106434,0.03598244
Bengbu,340300,2019,3375154,166238,0.04925346
Bengbu,340300,2020,3259399,176122,0.05403512
Bengbu,340300,2021,3288080,174618,0.05310637
Huainan City,340400,2003,147276,210,0.00142589
Huainan City,340400,2004,199133,104,0.00052226
Huainan City,340400,2005,253592,174,0.00068614
Huainan City,340400,2006,323764,168,0.0005189
Huainan City,340400,2007,410634,4124,0.01004301
Huainan City,340400,2008,543060,6576,0.01210916
Huainan City,340400,2009,696485,9451,0.01356957
Huainan City,340400,2010,810173,12680,0.01565098
Huainan City,340400,2011,1096382,20076,0.01831114
Huainan City,340400,2012,1489483,29331,0.01969207
Huainan City,340400,2013,1686273,32914,0.01951878
Huainan City,340400,2014,1459783,23349,0.01599484
Huainan City,340400,2015,1534525,23365,0.01522621
Huainan City,340400,2016,2180016,29203,0.01339577
Huainan City,340400,2017,2332828,35440,0.01519186
Huainan City,340400,2018,2451702,41055,0.01674551
Huainan City,340400,2019,2620841,50272,0.01918163
Huainan City,340400,2020,2881068,39849,0.01383133
Huainan City,340400,2021,2776414,39892,0.01436817
Ma'anshan City,340500,2003,172903,248,0.00143433
Ma'anshan City,340500,2004,217176,340,0.00156555
Ma'anshan City,340500,2005,291148,341,0.00117123
Ma'anshan City,340500,2006,382353,617,0.00161369
Ma'anshan City,340500,2007,629302,10411,0.01654373
Ma'anshan City,340500,2008,710881,11657,0.01639796
Ma'anshan City,340500,2009,800721,18550,0.02316662
Ma'anshan City,340500,2010,865282,24460,0.02826824
Ma'anshan City,340500,2011,1382943,34956,0.02527653
Ma'anshan City,340500,2012,1903706,50509,0.02653193
Ma'anshan City,340500,2013,2025888,60893,0.03005744
Ma'anshan City,340500,2014,1824561,57483,0.03150511
Ma'anshan City,340500,2015,2022307,66451,0.03285901
Ma'anshan City,340500,2016,2136960,103014,0.04820586
Ma'anshan City,340500,2017,2276986,123050,0.05404074
Ma'anshan City,340500,2018,2265572,116137,0.05126167
Ma'anshan City,340500,2019,2533325,108798,0.04294672
Ma'anshan City,340500,2020,2648224,120287,0.04542176
Ma'anshan City,340500,2021,2874117,124911,0.04346065
Huaibei City,340600,2003,111877,259,0.00231504
Huaibei City,340600,2004,126722,257,0.00202806
Huaibei City,340600,2005,187791,402,0.00214068
Huaibei City,340600,2006,236687,331,0.00139847
Huaibei City,340600,2007,300828,2307,0.00766883
Huaibei City,340600,2008,409713,3221,0.0078616
Huaibei City,340600,2009,542611,6692,0.01233296
Huaibei City,340600,2010,659289,8307,0.01259994
Huaibei City,340600,2011,872917,11648,0.01334377
Huaibei City,340600,2012,1085342,14748,0.01358834
Huaibei City,340600,2013,1087215,13406,0.01233059
Huaibei City,340600,2014,1160077,16653,0.01435508
Huaibei City,340600,2015,1314355,13449,0.0102324
Huaibei City,340600,2016,1426554,9646,0.00676175
Huaibei City,340600,2017,1527736,15863,0.01038334
Huaibei City,340600,2018,1667011,10531,0.00631729
Huaibei City,340600,2019,1900091,8315,0.00437611
Huaibei City,340600,2020,1837610,25377,0.01380979
Huaibei City,340600,2021,1958243,79504,0.04059966
Tongling City,340700,2003,92022,318,0.0034557
